source,task,command,expected,actual,method,detail
gold,vlan-create-basic,/interface/vlan add name=vlan100 vlan-id=100 interface=ether2,ok,ok,chr:inspect,path ok (interface/vlan verb=add)
gold,vlan-bridge-tagged,/interface/bridge/vlan add bridge=bridge1 tagged=ether3 vlan-ids=20,ok,ok,chr:inspect,path ok (interface/bridge/vlan verb=add)
gold,vlan-bridge-untagged-pvid,/interface/bridge/vlan add bridge=bridge1 untagged=ether4 vlan-ids=30,ok,ok,chr:inspect,path ok (interface/bridge/vlan verb=add)
gold,vlan-bridge-untagged-pvid,/interface/bridge/port set [find interface=ether4] pvid=30,ok,ok,chr:inspect,path ok (interface/bridge/port verb=set)
gold,vlan-enable-bridge-vlan-filtering,/interface/bridge set [find name=bridge1] vlan-filtering=yes,ok,ok,chr:inspect,path ok (interface/bridge verb=set)
gold,fw-allow-established-related,"/ip/firewall/filter add chain=input connection-state=established,related action=accept",ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,fw-drop-invalid,/ip/firewall/filter add chain=input connection-state=invalid action=drop,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,fw-allow-wireguard-peer,/ip/firewall/filter add chain=input protocol=udp dst-port=13231 action=accept,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,fw-block-port-forward-order,/ip/firewall/filter add chain=forward protocol=tcp dst-address=192.168.88.10 dst-port=443 action=accept place-before=0,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,nat-masquerade-out,/ip/firewall/nat add chain=srcnat out-interface=ether1 action=masquerade,ok,ok,chr:inspect,path ok (ip/firewall/nat verb=add)
gold,nat-dstnat-port-forward,/ip/firewall/nat add chain=dstnat protocol=tcp dst-port=8080 action=dst-nat to-addresses=192.168.88.20 to-ports=80,ok,ok,chr:inspect,path ok (ip/firewall/nat verb=add)
gold,fw-addresslist-add,/ip/firewall/address-list add list=rfc1918 address=10.0.0.0/8,ok,ok,chr:inspect,path ok (ip/firewall/address-list verb=add)
gold,dhcp-server-pool,/ip/pool add name=dhcp_pool0 ranges=192.168.88.10-192.168.88.254,ok,ok,chr:inspect,path ok (ip/pool verb=add)
gold,dhcp-server-on-bridge,/ip/dhcp-server add name=dhcp1 interface=bridge1 address-pool=dhcp_pool0 disabled=no,ok,ok,chr:inspect,path ok (ip/dhcp-server verb=add)
gold,dhcp-network-gateway-dns,/ip/dhcp-server/network add address=192.168.88.0/24 gateway=192.168.88.1 dns-server=1.1.1.1,ok,ok,chr:inspect,path ok (ip/dhcp-server/network verb=add)
gold,dhcp-static-lease,/ip/dhcp-server/lease add address=192.168.88.50 mac-address=AA:BB:CC:DD:EE:FF,ok,ok,chr:inspect,path ok (ip/dhcp-server/lease verb=add)
gold,dns-set-servers,"/ip/dns set servers=1.1.1.1,8.8.8.8 allow-remote-requests=yes",ok,ok,chr:inspect,path ok (ip/dns verb=set)
gold,dns-static-record,/ip/dns/static add name=router.lan address=192.168.88.1,ok,ok,chr:inspect,path ok (ip/dns/static verb=add)
gold,ipaddr-assign,/ip/address add address=192.168.88.1/24 interface=bridge1,ok,ok,chr:inspect,path ok (ip/address verb=add)
gold,route-default-gateway,/ip/route add dst-address=0.0.0.0/0 gateway=192.168.1.1,ok,ok,chr:inspect,path ok (ip/route verb=add)
gold,route-static-with-distance,/ip/route add dst-address=0.0.0.0/0 gateway=192.168.2.1 distance=2,ok,ok,chr:inspect,path ok (ip/route verb=add)
gold,route-blackhole,/ip/route add dst-address=10.10.10.0/24 blackhole,ok,ok,chr:inspect,path ok (ip/route verb=add)
gold,wg-create-interface,/interface/wireguard add name=wg0 listen-port=13231,ok,ok,chr:inspect,path ok (interface/wireguard verb=add)
gold,wg-assign-address,/ip/address add address=10.10.0.1/24 interface=wg0,ok,ok,chr:inspect,path ok (ip/address verb=add)
