approach,task,model,rep,label,syntax_valid,n_cmds,n_gold,exit_code,cost_usd,num_turns,cited_source,prompt_hash
baseline,vlan-create-basic,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.012831500000000001,1,,c0b22d37e3f9
baseline,vlan-create-basic,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0130715,1,,c0b22d37e3f9
baseline,vlan-create-basic,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0128815,1,,c0b22d37e3f9
rosetta-context,vlan-create-basic,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0176745,1,,1a355683c7f9
rosetta-context,vlan-create-basic,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0179795,1,,1a355683c7f9
rosetta-context,vlan-create-basic,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0174235,1,,1a355683c7f9
skills-context,vlan-create-basic,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0174885,1,,f7d19a1783da
skills-context,vlan-create-basic,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0174325,1,,f7d19a1783da
skills-context,vlan-create-basic,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0171165,1,,f7d19a1783da
vendordoc-steer,vlan-create-basic,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.060177,5,https://manual.mikrotik.com/docs/cli-reference/interface/vlan.md,c875580e315b
vendordoc-steer,vlan-create-basic,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0702567,6,https://manual.mikrotik.com/docs/bridging-and-switching/vlan.md,c875580e315b
vendordoc-steer,vlan-create-basic,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0594436,5,https://manual.mikrotik.com/docs/cli-reference/interface/vlan.md,c875580e315b
baseline,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,0,hallucinated,error,2,2,0,0.0242775,1,,5ec96c336eb5
baseline,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,1,wrong_target,ok,2,2,0,0.0164745,1,,5ec96c336eb5
baseline,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,2,perfect,ok,2,2,0,0.0147285,1,,5ec96c336eb5
rosetta-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,0,hallucinated,ok,2,2,0,0.0196645,1,,0bb790548d82
rosetta-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,1,perfect,ok,2,2,0,0.0209515,1,,0bb790548d82
rosetta-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,2,perfect,ok,2,2,0,0.0214395,1,,0bb790548d82
skills-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,0,hallucinated,error,2,2,0,0.025774499999999995,1,,b74fe731805d
skills-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,1,perfect,ok,2,2,0,0.029341500000000003,1,,b74fe731805d
skills-context,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,2,incomplete_seq,ok,1,2,0,0.0302265,1,,b74fe731805d
vendordoc-steer,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,0,hallucinated,ok,2,2,0,0.5832106,36,https://manual.mikrotik.com/docs/wireless/wifi/capsman/,e068ac7e5bb2
vendordoc-steer,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,1,hallucinated,ok,2,2,0,0.0684827,4,https://manual.mikrotik.com/docs/bridging-and-switching/user-guides/bridge-vlan-table.md,e068ac7e5bb2
vendordoc-steer,vlan-bridge-untagged-pvid,claude-haiku-4-5-20251001,2,hallucinated,ok,2,2,0,0.10707140000000001,7,https://manual.mikrotik.com/docs/bridging-and-switching/user-guides/basic-vlan-switching.md,e068ac7e5bb2
baseline,nat-dstnat-port-forward,claude-haiku-4-5-20251001,0,perfect,ok,2,1,0,0.015333500000000002,1,,34aa2894109c
baseline,nat-dstnat-port-forward,claude-haiku-4-5-20251001,1,hallucinated,ok,2,1,0,0.018328499999999998,1,,34aa2894109c
baseline,nat-dstnat-port-forward,claude-haiku-4-5-20251001,2,perfect,ok,2,1,0,0.015668500000000002,1,,34aa2894109c
rosetta-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,0,perfect,ok,2,1,0,0.0201245,1,,7c772ca9ec90
rosetta-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0185175,1,,7c772ca9ec90
rosetta-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,2,perfect,ok,2,1,0,0.0222895,1,,7c772ca9ec90
skills-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,0,hallucinated,ok,1,1,0,0.0228505,1,,e99edade70a0
skills-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,1,hallucinated,ok,1,1,0,0.026703499999999998,1,,e99edade70a0
skills-context,nat-dstnat-port-forward,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0247085,1,,e99edade70a0
vendordoc-steer,nat-dstnat-port-forward,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.06524479999999999,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/nat.md,5238edfa1088
vendordoc-steer,nat-dstnat-port-forward,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.06536220000000001,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/nat.md,5238edfa1088
vendordoc-steer,nat-dstnat-port-forward,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.07595060000000001,5,https://manual.mikrotik.com/docs/cli-reference/ip/firewall/nat.md,5238edfa1088
baseline,route-blackhole,claude-haiku-4-5-20251001,0,hallucinated,error,1,1,0,0.0131265,1,,538946ff048b
baseline,route-blackhole,claude-haiku-4-5-20251001,1,hallucinated,error,1,1,0,0.0132515,1,,538946ff048b
