model,approach,task,n_rep,n_real,n_perfect,n_syntax_ok,n_cited,modal_label,agreement,labels
claude-haiku-4-5-20251001,baseline,dhcp-server-on-bridge,3,3,0,3,0,missing_arg,1.0,missing_arg|missing_arg|missing_arg
claude-haiku-4-5-20251001,baseline,fw-allow-established-related,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,baseline,fw-filter-comment-not-name,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,baseline,ipaddr-netmask-form,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,baseline,ipv6-address-assign,3,3,2,2,0,perfect,0.67,perfect|wrong_path|perfect
claude-haiku-4-5-20251001,baseline,nat-dstnat-port-forward,3,3,2,3,0,perfect,0.67,perfect|hallucinated|perfect
claude-haiku-4-5-20251001,baseline,route-blackhole,3,3,0,0,0,hallucinated,1.0,hallucinated|hallucinated|hallucinated
claude-haiku-4-5-20251001,baseline,route-unreachable,3,3,0,0,0,trap-fell,1.0,trap-fell|trap-fell|trap-fell
claude-haiku-4-5-20251001,baseline,vlan-bridge-untagged-pvid,3,3,1,2,0,hallucinated,0.33,hallucinated|wrong_target|perfect
claude-haiku-4-5-20251001,baseline,vlan-create-basic,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,baseline,wg-add-peer,3,3,1,1,0,empty,0.67,empty|empty|perfect
claude-haiku-4-5-20251001,rosetta-context,dhcp-server-on-bridge,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,fw-allow-established-related,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,fw-filter-comment-not-name,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,ipaddr-netmask-form,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,ipv6-address-assign,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,nat-dstnat-port-forward,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,route-blackhole,3,3,0,3,0,wrong_path,1.0,wrong_path|wrong_path|wrong_path
claude-haiku-4-5-20251001,rosetta-context,route-unreachable,3,3,0,0,0,trap-fell,1.0,trap-fell|trap-fell|trap-fell
claude-haiku-4-5-20251001,rosetta-context,vlan-bridge-untagged-pvid,3,3,2,3,0,perfect,0.67,hallucinated|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,vlan-create-basic,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,rosetta-context,wg-add-peer,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,skills-context,dhcp-server-on-bridge,3,3,0,3,0,missing_arg,1.0,missing_arg|missing_arg|missing_arg
claude-haiku-4-5-20251001,skills-context,fw-allow-established-related,3,3,2,3,0,perfect,0.67,perfect|hallucinated|perfect
claude-haiku-4-5-20251001,skills-context,fw-filter-comment-not-name,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,skills-context,ipaddr-netmask-form,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,skills-context,ipv6-address-assign,3,3,2,3,0,perfect,0.67,perfect|wrong_path|perfect
claude-haiku-4-5-20251001,skills-context,nat-dstnat-port-forward,3,3,1,3,0,hallucinated,0.67,hallucinated|hallucinated|perfect
claude-haiku-4-5-20251001,skills-context,route-blackhole,3,3,0,0,0,hallucinated,1.0,hallucinated|hallucinated|hallucinated
