task,mcp_tool_signal,skill_frontmatter_signal,rosetta_retrieval_reachable
vlan-create-basic,1,0,1
vlan-bridge-tagged,1,0,1
vlan-bridge-untagged-pvid,1,0,1
vlan-enable-bridge-vlan-filtering,1,0,1
fw-allow-established-related,1,1,1
fw-drop-invalid,1,1,1
fw-allow-wireguard-peer,1,1,1
fw-block-port-forward-order,1,1,1
nat-masquerade-out,1,1,1
nat-dstnat-port-forward,1,1,1
fw-addresslist-add,1,1,1
dhcp-server-pool,1,1,1
dhcp-server-on-bridge,1,1,1
dhcp-network-gateway-dns,1,1,1
dhcp-static-lease,1,1,1
dns-set-servers,0,1,1
dns-static-record,1,1,1
ipaddr-assign,1,1,1
route-default-gateway,0,0,1
route-static-with-distance,0,0,1
route-blackhole,0,0,1
wg-create-interface,1,0,1
wg-assign-address,1,1,1
wg-add-peer,1,1,1
iface-create-bridge,1,0,1
iface-add-bridge-port,1,1,1
iface-disable,1,0,1
iface-set-mtu,1,0,1
wifi-set-ssid,1,0,1
queue-simple-limit,1,0,1
user-add-readonly,0,1,1
user-disable,0,0,1
backup-create,1,0,1
export-config,1,1,1
identity-set,0,0,1
ntp-client-enable,0,0,1
logs-read-recent,1,0,1
read-interfaces,1,0,1
read-ip-addresses,1,1,1
read-routes,0,0,1
read-firewall-filter,1,1,1
read-dhcp-leases,1,1,1
fw-default-drop-input-last,1,1,1
vlan-on-vlan-qinq,1,0,1
mangle-mark-connection,1,1,1
