task,domain,gold_path,hit_at_1,hit_at_3,hit_at_5,first_rank,mrr,explain_reconstructs,status
vlan-create-basic,vlan,/interface/vlan,1,1,1,1,1.0,1,ok
vlan-bridge-tagged,bridge-vlan,/interface/bridge/vlan,1,1,1,1,1.0,1,ok
vlan-bridge-untagged-pvid,bridge-vlan,/interface/bridge/vlan,1,1,1,1,1.0,1,ok
vlan-enable-bridge-vlan-filtering,bridge-vlan,/interface/bridge,1,1,1,1,1.0,1,ok
fw-allow-established-related,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
fw-drop-invalid,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
fw-allow-wireguard-peer,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
fw-block-port-forward-order,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
nat-masquerade-out,nat,/ip/firewall/nat,1,1,1,1,1.0,1,ok
nat-dstnat-port-forward,nat,/ip/firewall/nat,1,1,1,1,1.0,1,ok
fw-addresslist-add,firewall,/ip/firewall/address-list,0,0,0,0,0.0,1,ok
dhcp-server-pool,dhcp,/ip/pool,1,1,1,1,1.0,1,ok
dhcp-server-on-bridge,dhcp,/ip/dhcp-server,1,1,1,1,1.0,1,ok
dhcp-network-gateway-dns,dhcp,/ip/dhcp-server/network,0,0,0,0,0.0,1,ok
dhcp-static-lease,dhcp,/ip/dhcp-server/lease,0,0,0,0,0.0,1,ok
dns-set-servers,dns,/ip/dns,1,1,1,1,1.0,1,ok
dns-static-record,dns,/ip/dns/static,1,1,1,1,1.0,1,ok
ipaddr-assign,ip-address,/ip/address,1,1,1,1,1.0,1,ok
route-default-gateway,routes,/ip/route,1,1,1,1,1.0,1,ok
route-static-with-distance,routes,/ip/route,1,1,1,1,1.0,1,ok
route-blackhole,routes,/ip/route,1,1,1,1,1.0,1,ok
wg-create-interface,wireguard,/interface/wireguard,1,1,1,1,1.0,1,ok
wg-assign-address,wireguard,/ip/address,1,1,1,1,1.0,1,ok
wg-add-peer,wireguard,/interface/wireguard/peers,1,1,1,1,1.0,1,ok
iface-create-bridge,interfaces,/interface/bridge,1,1,1,1,1.0,1,ok
iface-add-bridge-port,interfaces,/interface/bridge/port,1,1,1,1,1.0,1,ok
iface-disable,interfaces,/interface,1,1,1,1,1.0,1,ok
iface-set-mtu,interfaces,/interface/ethernet,1,1,1,1,1.0,1,ok
wifi-set-ssid,wireless,/interface/wifi,1,1,1,1,1.0,1,ok
queue-simple-limit,queue,/queue/simple,1,1,1,1,1.0,1,ok
user-add-readonly,users,/user,1,1,1,1,1.0,1,ok
user-disable,users,/user,1,1,1,1,1.0,1,ok
backup-create,backup,/system/backup,1,1,1,1,1.0,1,ok
export-config,backup,/export,1,1,1,1,1.0,1,ok
identity-set,system,/system/identity,1,1,1,1,1.0,1,ok
ntp-client-enable,system,/system/ntp/client,1,1,1,1,1.0,1,ok
logs-read-recent,logs,/log,1,1,1,1,1.0,1,ok
read-interfaces,interfaces,/interface,1,1,1,1,1.0,1,ok
read-ip-addresses,ip-address,/ip/address,1,1,1,1,1.0,1,ok
read-routes,routes,/ip/route,0,0,0,0,0.0,1,ok
read-firewall-filter,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
read-dhcp-leases,dhcp,/ip/dhcp-server/lease,0,0,0,0,0.0,1,ok
fw-default-drop-input-last,firewall,/ip/firewall/filter,1,1,1,1,1.0,1,ok
vlan-on-vlan-qinq,vlan,/interface/vlan,1,1,1,1,1.0,1,ok
mangle-mark-connection,firewall,/ip/firewall/mangle,1,1,1,1,1.0,1,ok
