task,domain,matched_tools,candidate_tools,top_tool,top_score,correct_in_top3,destructive_in_top5
vlan-create-basic,vlan,56,7,list_interfaces,3,1,0
vlan-bridge-tagged,bridge-vlan,32,9,list_interfaces,3,1,0
vlan-bridge-untagged-pvid,bridge-vlan,37,9,list_interfaces,3,1,0
vlan-enable-bridge-vlan-filtering,bridge-vlan,32,9,list_interfaces,3,1,0
fw-allow-established-related,firewall,38,3,create_filter_rule,8,1,0
fw-drop-invalid,firewall,33,4,create_filter_rule,6,1,0
fw-allow-wireguard-peer,firewall,48,13,export_section,3,1,0
fw-block-port-forward-order,firewall,39,14,create_filter_rule,8,1,0
nat-masquerade-out,nat,60,16,export_section,4,1,0
nat-dstnat-port-forward,nat,40,4,create_nat_rule,7,1,0
fw-addresslist-add,firewall,33,17,export_section,3,1,0
dhcp-server-pool,dhcp,30,5,create_dhcp_pool,7,1,0
dhcp-server-on-bridge,dhcp,55,19,create_dhcp_pool,4,0,0
dhcp-network-gateway-dns,dhcp,43,15,create_dhcp_network,4,0,0
dhcp-static-lease,dhcp,39,11,create_dhcp_pool,6,0,0
dns-set-servers,dns,35,35,set_dns_servers,2,0,0
dns-static-record,dns,40,22,create_dhcp_pool,4,0,0
ipaddr-assign,ip-address,49,12,create_simple_queue,6,1,0
route-default-gateway,routes,35,11,add_route,6,0,0
route-static-with-distance,routes,38,9,add_route,5,0,0
route-blackhole,routes,41,13,add_blackhole_route,3,0,0
wg-create-interface,wireguard,41,41,list_interfaces,2,1,0
wg-assign-address,wireguard,57,10,add_wireguard_peer,6,1,0
wg-add-peer,wireguard,54,2,add_wireguard_peer,9,1,0
iface-create-bridge,interfaces,34,4,list_interfaces,3,1,0
iface-add-bridge-port,interfaces,38,7,list_interfaces,4,1,0
iface-disable,interfaces,42,42,list_interfaces,2,1,0
iface-set-mtu,interfaces,34,7,list_interfaces,4,1,0
wifi-set-ssid,wireless,41,9,update_wireless_interface,3,1,1
queue-simple-limit,queue,33,4,create_simple_queue,8,1,0
user-add-readonly,users,18,18,add_user_group,2,0,1
user-disable,users,28,28,disable_user,2,1,0
backup-create,backup,7,7,create_backup,2,1,1
export-config,backup,18,8,export_dns_config,4,0,0
identity-set,system,5,5,create_backup,1,0,1
ntp-client-enable,system,28,28,create_backup,1,0,1
logs-read-recent,logs,13,4,get_security_logs,3,0,0
read-interfaces,interfaces,34,34,list_interfaces,2,0,0
read-ip-addresses,ip-address,24,15,add_wireguard_peer,3,1,0
read-routes,routes,33,5,add_route,3,0,0
read-firewall-filter,firewall,30,10,export_section,3,1,0
read-dhcp-leases,dhcp,28,4,create_dhcp_server,3,0,1
fw-default-drop-input-last,firewall,36,12,create_filter_rule,4,1,0
vlan-on-vlan-qinq,vlan,53,7,list_interfaces,3,1,0
mangle-mark-connection,firewall,57,13,update_route,5,0,0
